日期,类型,金额,分类,备注
2016-02-06 06:18:12,收入,263.42,二手转卖,
2016-12-20 17:47:51,收入,494.83,退税退费,年度奖金
2016-05-07 19:46:42,收入,15.55,公积金,
2016-03-26 22:07:13,支出,152.69,捐赠,
2016-10-16 15:49:55,支出,656.98,旅行,
2016-11-21 16:04:22,收入,234.03,兼职,
2016-10-15 15:05:56,收入,382.69,理财,
2016-11-07 04:24:09,支出,474.76,物业,年度奖金
2016-06-19 12:08:49,收入,72.17,利息,
2016-11-27 06:11:33,支出,555.29,宠物,年度分析表
2016-05-22 04:20:22,收入,97.32,利息,
2016-03-09 11:42:15,收入,216.39,兼职,
2016-03-21 22:51:15,支出,272.14,通讯,
2016-03-19 03:11:30,收入,208.92,理财,
2016-10-15 09:09:55,支出,88.52,汽车,
2016-01-07 06:21:08,收入,396.64,红包,
2016-11-24 21:39:44,收入,483.77,工作,
2016-09-20 09:25:07,支出,491.74,退款,
2016-12-03 07:44:56,收入,495.56,兼职,
2016-02-14 07:19:45,收入,478.01,股票,
2016-09-24 18:55:25,收入,300.68,兼职,
2016-11-23 04:43:50,支出,499.29,水电,
2016-11-23 13:17:24,支出,218.33,地铁,
2016-07-02 00:51:22,收入,336.09,工资,
2016-03-03 08:44:31,收入,38.48,奖金,
2016-03-06 18:46:44,支出,622.55,饮料,
2016-06-06 08:01:50,支出,394.01,运动,
2016-01-06 15:57:31,收入,454.62,二手转卖,
2016-08-12 22:24:24,支出,38.47,停车,
2016-12-28 05:52:09,收入,171.53,股票,
2016-08-16 17:34:58,收入,246.72,工资,家庭装修
2016-12-15 06:13:29,支出,654.23,美容,
2016-08-06 09:04:46,支出,249.73,纳税,
2016-02-10 02:27:57,收入,193.24,退税退费,
2016-11-21 06:03:13,收入,256.16,股票,
2016-04-02 02:19:11,收入,130.58,工资,奖金发放
2016-04-16 14:01:58,支出,234.36,日用品,
2016-05-21 08:18:56,收入,193.17,二手转卖,
2016-12-04 20:33:53,支出,275.90,水电,
2016-02-14 17:29:40,收入,60.55,报销,
2016-06-16 09:52:03,支出,275.26,交通,
2016-08-11 12:40:02,支出,212.62,书,
2016-03-08 00:38:43,收入,486.92,二手转卖,
2016-08-14 03:15:32,收入,336.38,兼职,
2016-03-17 00:40:33,支出,21.73,饮料,
2016-03-28 12:50:19,收入,395.41,奖金,
2016-10-03 05:35:18,收入,257.14,红包,
2016-09-26 21:18:15,收入,5416.00,工资,
2016-03-02 03:50:24,支出,96.87,烟酒,
2016-10-04 06:20:49,支出,334.42,旅行,
2016-08-24 04:52:03,支出,196.75,教育,
2016-04-23 23:07:04,收入,398.02,利息,
2016-05-18 09:13:00,支出,363.72,彩票,
2016-10-14 07:15:40,收入,245.79,红包,
2016-09-06 05:53:25,支出,387.72,运动,
2016-07-18 01:10:23,支出,312.82,美容,
2016-08-25 13:29:25,收入,24.76,股票,
2016-03-16 02:48:28,支出,89.67,社交,
2016-05-16 20:43:51,收入,454.64,社会保障,
2016-10-02 19:22:13,收入,229.43,社会保障,
2016-08-12 13:45:49,支出,104.72,水电,
2016-12-27 00:41:45,支出,729.39,购物,
2016-01-28 08:31:29,支出,372.25,社保,
2016-05-01 18:32:25,收入,478.84,公积金,
2016-10-28 07:11:38,收入,322.00,兼职,
2016-09-06 02:58:18,收入,389.81,利息,年度支出表
2016-09-16 08:54:36,支出,661.30,维修,
2016-09-18 21:39:02,收入,313.25,退税退费,
2016-12-16 15:24:35,支出,604.51,物业,
2016-06-05 07:41:50,收入,393.75,利息,
2016-12-14 23:58:18,收入,370.68,礼金,
2016-02-07 02:48:30,收入,88.72,工资,年度分析
2016-01-16 02:01:31,收入,92.28,公积金,
2016-04-19 00:45:10,支出,755.62,餐饮,
2016-10-02 03:24:31,支出,241.71,烟酒,
2016-06-07 11:18:29,支出,107.90,通讯,
2016-10-19 15:39:40,收入,317.44,工资,
2016-04-07 19:35:51,收入,5386.00,工资,
2016-06-09 14:25:59,支出,651.81,饮料,
2016-03-15 12:02:52,支出,527.86,美容,
2016-09-27 08:23:29,收入,96.46,公积金,年度报告
2016-10-13 23:35:04,收入,321.50,工资,
2016-08-08 22:59:08,支出,218.79,零食,
2016-05-02 12:10:05,收入,141.76,利息,
2016-07-27 16:36:37,收入,414.40,社会保障,
2016-07-16 00:14:37,支出,222.97,宠物,
2016-09-07 13:05:01,支出,754.90,停车,
2016-09-09 10:09:06,支出,308.41,娱乐,社交聚会
2016-05-08 15:59:05,支出,175.56,书,
2016-02-15 14:13:14,支出,307.34,烟酒,
2016-10-24 22:51:36,支出,239.12,纳税,年度报告表
2016-05-06 10:01:15,收入,247.31,报销,
2016-08-25 06:10:54,收入,286.89,股票,
2016-10-22 10:05:05,支出,542.41,零食,
2016-01-25 21:55:02,收入,156.27,股票,
2016-06-17 01:47:55,收入,242.86,退税退费,股票分红
2016-02-18 22:15:03,支出,241.95,母婴,
2016-03-15 16:52:43,支出,577.11,家庭,
2016-01-10 03:15:58,支出,792.78,餐饮,
2016-06-07 10:20:20,支出,713.56,书,
2016-05-07 08:00:51,支出,295.54,水果,
2016-11-24 23:41:18,收入,290.39,股票,
2016-04-28 23:36:49,支出,738.73,母婴,
2016-03-09 22:47:04,收入,493.85,利息,
2016-11-20 03:59:14,收入,54.49,利息,
2016-07-22 01:34:21,收入,239.64,利息,
2016-09-08 03:12:51,收入,378.66,退税退费,
2016-08-01 04:13:34,收入,5450.00,工资,
2016-05-26 22:42:13,支出,798.12,彩票,
2016-12-25 00:23:54,支出,143.32,家庭,
2016-01-11 03:22:48,支出,387.56,爱人,
2016-12-13 11:06:32,支出,587.40,医疗,
2016-08-03 01:30:20,收入,376.44,股票,
2016-05-08 09:12:47,收入,383.83,工资,年度账单表
2016-01-25 10:54:06,支出,440.44,通讯,
2016-08-26 04:25:25,支出,391.38,交通,
2016-06-22 12:30:28,支出,457.07,社交,
2016-10-13 13:02:03,支出,293.32,服装,
2016-11-09 17:42:15,收入,66.82,股票,
2016-09-08 03:59:03,收入,266.21,公积金,年度账单
2016-09-04 17:15:51,支出,769.08,住房,
2016-10-26 12:26:57,收入,40.08,工资,
2016-04-16 03:23:17,收入,87.23,礼金,
2016-05-03 12:52:31,支出,367.64,汽车,
2016-02-08 10:12:03,支出,163.94,饮料,
2016-06-15 21:42:05,支出,578.31,运动,
2016-05-09 02:26:31,支出,174.08,旅行,
2016-05-14 12:26:58,收入,409.17,公积金,
2016-03-11 00:11:25,支出,225.39,物业,
2016-08-10 18:36:48,收入,143.27,股票,
2016-05-24 15:50:20,收入,170.83,理财,
2016-04-11 04:56:03,收入,68.65,公积金,
2016-01-20 06:58:36,收入,123.90,兼职,
2016-02-02 02:53:17,收入,469.12,社会保障,
2016-10-17 03:41:57,支出,140.10,游戏,
2016-12-19 20:49:32,收入,248.34,股票,
2016-10-19 20:58:41,收入,320.04,股票,
2016-04-28 14:05:15,收入,5325.00,工资,
2016-04-20 14:40:25,支出,636.99,饮料,
2016-12-12 17:38:11,收入,253.95,社会保障,
2016-07-06 09:16:20,收入,55.32,兼职,
2016-04-17 20:59:18,收入,413.43,兼职,打车出行
2016-05-19 23:29:38,收入,463.91,工资,退款到账
2016-03-18 06:17:58,收入,431.93,二手转卖,
2016-06-24 05:57:22,收入,404.92,报销,
2016-12-15 21:16:34,支出,5.13,住房,
2016-12-06 21:33:00,收入,248.07,报销,
2016-06-26 22:12:36,收入,492.30,退税退费,
2016-10-22 05:20:58,收入,331.90,公积金,
2016-01-10 03:14:16,支出,748.72,地铁,
2016-07-15 04:55:06,支出,600.55,汽车,
2016-02-02 09:09:41,收入,219.10,股票,
2016-08-11 18:27:28,收入,109.74,公积金,
2016-02-26 06:34:49,收入,289.74,兼职,
2016-01-23 11:00:22,支出,114.41,医疗,年度评估表
2016-02-07 22:38:04,支出,785.37,娱乐,
2016-01-08 06:07:47,支出,244.09,社交,
2016-07-26 22:24:29,支出,719.15,快递,
2016-05-02 05:36:52,支出,409.39,母婴,
2016-12-10 21:55:05,支出,686.90,日用品,
2016-03-09 16:04:01,收入,231.13,二手转卖,
2016-11-20 18:27:37,支出,354.42,社保,
2016-02-22 02:13:33,支出,717.22,医疗,
2016-02-13 14:08:48,收入,74.50,理财,年度报告表
2016-06-01 17:46:35,收入,449.37,报销,
2016-08-19 22:45:42,收入,126.41,工作,
2016-08-02 14:46:23,收入,451.55,报销,
2016-11-19 01:40:27,支出,302.35,母婴,
2016-09-18 03:04:26,支出,774.50,旅行,
2016-07-01 05:32:13,支出,508.25,数码,
2016-01-24 15:47:53,收入,107.12,社会保障,
2016-12-08 07:15:54,支出,593.13,快递,
2016-02-23 20:38:04,收入,291.79,工作,
2016-01-02 06:37:26,支出,709.39,购物,
2016-12-20 16:12:06,收入,493.33,社会保障,社交聚会
2016-12-16 21:05:26,收入,115.60,报销,
2016-11-17 10:52:45,收入,467.63,退税退费,爱人礼物
2016-03-07 08:46:51,收入,268.50,公积金,
2016-08-27 08:50:21,收入,82.23,公积金,
2016-11-05 00:50:09,收入,173.25,公积金,书籍购买
2016-07-25 14:49:29,收入,256.41,二手转卖,
2016-07-03 20:04:55,收入,345.78,利息,
2016-12-03 07:25:42,收入,236.69,股票,投资理财
2016-07-07 09:31:01,支出,589.99,退款,
2016-10-15 06:03:22,支出,694.45,物业,
2016-12-19 05:06:42,支出,153.33,居家,
2016-09-26 08:55:43,支出,518.05,装修,
2016-01-16 09:25:58,收入,400.58,工资,
2016-02-02 00:24:54,收入,150.54,利息,
2016-12-06 03:05:02,支出,118.84,居家,
2016-02-14 15:17:04,支出,73.58,停车,
2016-12-27 21:43:02,收入,381.57,退税退费,
2016-12-27 07:24:53,支出,585.76,居家,
2016-02-22 14:50:13,支出,732.49,停车,
2016-06-15 21:29:44,支出,574.22,水果,
2016-02-05 12:51:36,支出,324.06,水电,
2016-04-04 23:38:24,收入,354.52,社会保障,
2016-08-04 22:19:40,支出,544.98,交通,
2016-02-21 11:19:14,支出,602.45,美容,
2016-11-01 20:36:41,收入,325.70,工资,
2016-06-22 08:45:18,收入,409.55,礼金,
2016-08-18 09:55:06,收入,408.10,理财,年度评估表
2016-03-19 20:18:27,支出,16.11,水果,
2016-12-20 22:04:30,收入,147.24,工作,
2016-08-20 17:59:55,支出,187.19,日用品,
2016-09-13 18:02:07,收入,494.19,社会保障,
2016-07-17 20:47:07,收入,450.70,红包,
2016-03-27 02:36:05,支出,612.42,通讯,
2016-07-06 05:45:41,支出,428.50,烟酒,
2016-06-27 00:14:55,收入,345.33,股票,
2016-08-08 22:59:20,收入,196.62,兼职,
2016-12-24 10:26:20,支出,71.81,游戏,
2016-12-22 14:11:15,收入,335.76,股票,
2016-07-05 00:54:04,收入,60.86,二手转卖,
2016-07-03 11:03:51,支出,380.65,捐赠,
2016-06-22 23:08:32,收入,429.08,礼金,
2016-11-08 10:56:00,支出,547.96,停车,
2016-06-01 09:23:12,支出,26.89,交通,
2016-03-04 15:17:02,收入,402.73,退税退费,书籍购买
2016-08-25 23:27:06,支出,787.06,运动,
2016-04-05 16:22:17,收入,325.32,理财,
2016-04-09 13:41:41,支出,122.32,捐赠,
2016-01-22 20:56:58,支出,388.29,日用品,
2016-05-21 16:11:06,支出,519.27,停车,
2016-03-07 22:23:18,收入,231.37,社会保障,
2016-01-19 19:45:06,收入,275.61,公积金,
2016-11-06 00:54:24,支出,588.32,地铁,
2016-12-12 09:00:45,收入,5425.00,工资,
2016-02-20 10:46:28,支出,612.55,停车,理财收益
2016-05-02 18:00:54,收入,182.10,二手转卖,
2016-10-02 03:33:50,收入,358.09,公积金,
2016-09-16 17:10:49,收入,428.97,红包,
2016-04-14 04:01:46,支出,499.54,外卖,
2016-08-10 06:25:12,支出,759.57,水电,退款到账
2016-01-26 10:07:39,收入,342.43,兼职,
2016-11-28 17:01:18,收入,250.39,礼金,
2016-03-16 11:52:00,收入,182.05,报销,
2016-07-20 23:47:29,收入,290.47,奖金,
2016-07-22 00:18:58,收入,476.94,兼职,
2016-04-13 09:45:57,收入,442.03,报销,
2016-09-05 23:37:27,收入,192.92,奖金,
2016-06-23 19:15:47,支出,50.60,学习,
2016-04-11 21:35:14,收入,255.37,社会保障,
2016-10-08 12:35:11,收入,130.04,退税退费,
2016-04-28 02:24:23,支出,409.50,通讯,
2016-06-10 03:58:53,收入,112.54,利息,
2016-09-12 09:35:58,支出,489.07,交通,
2016-05-13 19:21:54,收入,227.87,红包,
2016-05-13 01:26:29,支出,24.14,饮料,
2016-03-06 18:25:56,支出,277.31,爱人,
2016-03-15 05:54:35,支出,56.73,通讯,
2016-05-07 05:17:14,收入,457.07,兼职,
2016-06-18 12:40:49,支出,607.31,通讯,
2016-09-14 04:18:00,支出,85.47,烟酒,
2016-01-13 04:36:43,支出,190.66,烟酒,
2016-04-01 05:39:17,支出,734.18,通讯,
2016-12-24 21:45:33,支出,402.28,爱人,
2016-09-26 09:27:47,收入,5363.00,工资,
2016-02-18 20:10:17,收入,397.73,公积金,
2016-04-10 00:48:58,收入,89.51,公积金,
2016-09-22 10:17:42,支出,728.96,地铁,
2016-04-15 00:34:51,收入,92.28,兼职,
2016-10-25 12:42:07,支出,242.39,纳税,
2016-11-01 00:46:55,支出,240.16,快递,
2016-03-02 09:54:38,收入,317.95,礼金,
2016-03-08 20:43:55,支出,55.24,物业,
2016-02-12 11:03:09,支出,354.05,汽车,
2016-01-02 05:06:32,支出,353.78,服装,
2016-06-05 16:10:59,支出,147.82,捐赠,
2016-09-06 18:02:43,收入,476.32,理财,
2016-06-13 08:41:23,支出,726.78,运动,
2016-04-21 05:17:47,支出,319.89,烟酒,
2016-03-07 11:16:02,收入,283.92,股票,
2016-08-01 00:46:08,支出,680.64,宠物,水电费
2016-04-27 05:24:02,支出,528.25,汽车,
2016-04-25 22:51:10,支出,18.97,数码,
2016-09-27 04:38:57,收入,490.68,退税退费,
2016-02-18 11:33:24,支出,149.16,服装,
2016-06-22 16:36:43,支出,95.17,社交,晚餐
2016-12-05 17:09:29,支出,601.06,爱人,
2016-09-07 01:55:49,收入,57.13,红包,
2016-06-01 11:10:17,支出,84.02,家庭,
2016-02-14 00:05:08,支出,547.50,医疗,
2016-04-03 20:59:48,支出,401.23,地铁,
2016-05-03 05:14:09,收入,156.78,奖金,
2016-10-11 10:41:33,收入,276.44,兼职,
2016-08-06 04:43:49,收入,110.24,礼金,
2016-06-19 06:54:49,收入,5411.00,工资,
2016-09-08 17:16:52,支出,676.15,装修,
2016-11-25 16:20:10,支出,582.24,维修,
2016-04-14 07:47:27,收入,127.49,二手转卖,
2016-08-11 05:17:06,收入,436.93,红包,
2016-03-27 07:44:25,支出,734.38,地铁,
2016-05-19 16:17:38,支出,76.53,餐饮,
2016-05-09 23:50:57,收入,466.32,兼职,
2016-03-10 01:44:03,支出,13.00,打车,
2016-04-19 14:46:24,支出,395.13,家庭,
2016-09-09 06:32:17,支出,704.26,母婴,
2016-05-26 02:04:55,收入,325.39,公积金,
2016-02-22 22:50:09,收入,169.95,理财,
2016-01-03 20:35:53,支出,160.25,美容,
2016-07-03 21:40:49,支出,388.39,快递,
2016-08-02 08:52:40,收入,244.72,社会保障,
2016-06-20 20:59:18,支出,776.66,捐赠,
2016-06-08 07:20:05,收入,309.94,退税退费,
2016-06-17 23:08:42,支出,376.84,维修,
2016-08-04 02:08:14,收入,91.98,退税退费,
2016-08-17 16:02:35,收入,402.53,工作,
2016-12-25 09:00:33,支出,170.67,母婴,
2016-12-06 07:46:55,收入,309.72,工作,
2016-11-07 01:54:03,支出,761.24,装修,
2016-03-03 16:13:55,收入,157.78,报销,
2016-12-07 12:53:17,收入,170.28,利息,
2016-09-22 13:18:49,支出,134.96,饮料,
2016-09-01 20:06:43,支出,15.67,水果,
2016-07-10 08:07:24,支出,179.00,游戏,
2016-05-05 16:37:44,收入,196.63,工作,
2016-03-26 10:38:30,收入,5401.00,工资,
2016-10-17 16:58:59,支出,491.91,数码,
2016-05-01 17:41:09,支出,29.99,游戏,
2016-08-08 06:01:20,支出,281.42,打车,
2016-03-22 20:52:03,支出,441.96,服装,
2016-06-22 16:17:15,收入,312.79,工资,
2016-06-22 13:52:36,支出,340.24,教育,
2016-02-23 05:17:46,支出,778.73,外卖,
2016-12-28 07:15:10,支出,762.34,装修,
2016-06-05 10:09:52,支出,8.62,美容,
2016-12-09 20:09:01,收入,488.15,理财,
2016-02-22 00:50:46,收入,218.07,理财,
2016-10-18 02:37:32,支出,42.09,游戏,
2016-05-20 16:19:38,收入,211.64,社会保障,
2016-06-06 21:38:42,支出,502.21,停车,
2016-09-15 06:38:11,支出,784.84,水果,
2016-10-27 04:09:08,支出,28.90,社保,
2016-11-06 02:39:30,收入,237.53,理财,
2016-08-14 11:29:47,收入,497.41,公积金,捐赠公益
2016-09-06 09:14:09,支出,365.95,学习,
2016-04-08 16:57:44,支出,496.53,水果,
2016-03-12 05:41:39,支出,91.67,通讯,
2016-11-17 05:42:23,收入,161.09,工资,
2016-03-19 16:30:01,收入,379.07,工作,
2016-09-04 01:56:47,支出,626.74,水果,
2016-04-09 18:37:04,收入,437.33,股票,
2016-01-23 18:59:54,支出,608.82,餐饮,
2016-03-22 06:44:36,收入,96.54,社会保障,
2016-07-10 09:12:30,收入,256.20,社会保障,
2016-11-23 02:17:36,收入,422.30,奖金,工资收入
2016-05-05 09:38:46,支出,740.11,爱人,年度统计表
2016-03-07 08:34:32,支出,138.67,烟酒,
2016-07-19 17:32:32,收入,221.07,公积金,
2016-11-10 13:55:41,支出,265.52,停车,
2016-04-02 09:01:03,收入,18.47,报销,
2016-06-23 02:02:14,收入,492.08,兼职,
2016-12-28 05:26:59,支出,529.64,购物,
2016-06-22 13:03:30,支出,187.25,打车,
2016-08-26 21:25:51,支出,454.15,数码,
2016-12-13 17:33:37,收入,458.52,公积金,
2016-06-10 03:27:35,支出,126.60,打车,
2016-04-03 15:32:26,支出,410.03,社交,
2016-08-22 11:08:56,收入,476.41,红包,
2016-01-22 09:09:04,收入,338.52,社会保障,
2016-11-06 20:25:58,支出,342.68,餐饮,
2016-06-27 08:27:13,收入,396.83,公积金,
2016-09-04 10:56:39,收入,492.28,二手转卖,
2016-02-16 22:51:16,支出,405.94,交通,
2016-08-15 09:00:31,收入,280.27,礼金,教育支出
2016-08-25 19:25:22,收入,484.92,兼职,
2016-04-22 11:27:37,收入,348.09,报销,年度考核表
2016-09-15 09:57:23,支出,799.20,数码,
2016-02-21 03:06:37,支出,57.40,书,
2016-11-16 17:25:46,支出,12.76,零食,
2016-09-20 14:59:09,收入,452.49,奖金,
2016-05-23 14:12:13,收入,241.18,公积金,
2016-08-16 19:12:15,收入,286.23,退税退费,
2016-11-08 03:51:19,收入,111.19,礼金,
2016-10-13 05:34:34,支出,768.84,爱人,
2016-12-23 00:36:44,收入,305.90,二手转卖,
2016-11-25 01:18:26,收入,5407.00,工资,
2016-06-27 02:46:25,收入,293.32,退税退费,
2016-01-27 01:17:48,支出,66.45,餐饮,
2016-08-04 10:45:42,支出,213.72,爱人,医疗报销
2016-05-11 02:36:15,收入,364.83,兼职,
2016-10-21 06:35:16,支出,401.46,零食,餐饮消费
2016-10-13 12:29:15,收入,234.04,理财,
2016-10-21 06:21:10,收入,476.97,理财,
2016-05-02 16:16:00,支出,721.11,地铁,
2017-04-04 11:35:15,收入,5792.00,工资,纳税
2017-04-11 17:29:54,支出,654.89,水电,
2017-01-28 10:21:14,支出,546.67,汽车,
2017-09-08 16:52:36,收入,75.16,社会保障,
2017-03-22 14:57:52,收入,122.22,工作,
2017-08-21 21:23:33,收入,58.20,公积金,书籍购买
2017-03-28 02:26:43,收入,184.92,红包,
2017-11-11 01:34:03,收入,41.13,红包,
2017-11-19 20:35:46,收入,487.65,工资,
2017-07-06 22:39:12,支出,563.00,烟酒,
2017-04-25 09:23:22,收入,185.79,礼金,
2017-04-15 10:25:54,支出,716.49,物业,
2017-10-05 11:12:01,支出,141.33,娱乐,
2017-09-28 16:59:34,支出,345.93,教育,
2017-03-13 22:44:07,收入,412.90,礼金,
2017-02-16 00:57:12,支出,305.16,维修,饮料零食
2017-09-27 10:52:08,支出,20.19,运动,
2017-10-14 02:16:40,支出,9.78,捐赠,
2017-12-26 21:23:59,支出,293.45,彩票,
2017-12-19 20:28:38,收入,36.86,兼职,地铁通勤
2017-10-11 20:38:22,收入,311.56,公积金,
2017-08-23 23:07:18,收入,70.86,理财,
2017-03-02 18:43:39,收入,148.69,股票,
2017-05-20 18:56:24,支出,198.39,日用品,
2017-08-02 03:14:33,支出,496.68,教育,
2017-06-05 04:55:14,支出,563.72,教育,装修进度
2017-05-12 04:23:26,支出,173.12,服装,
2017-02-02 00:24:29,支出,655.68,通讯,
2017-02-08 09:16:42,支出,704.55,母婴,彩票中奖
2017-02-23 22:37:36,支出,283.73,住房,
2017-08-15 10:31:18,收入,5875.00,工资,
2017-02-23 01:08:34,收入,92.42,工资,
2017-06-16 04:22:32,收入,489.87,工资,年度统计
2017-06-20 01:10:12,收入,62.69,利息,
2017-08-12 20:20:29,支出,5.04,水果,
2017-03-09 13:11:37,支出,429.24,母婴,年度分析
2017-11-09 15:18:48,支出,611.61,快递,
2017-03-07 20:48:27,收入,127.82,奖金,
2017-07-07 02:05:00,收入,236.08,兼职,
2017-01-15 08:35:39,支出,590.68,彩票,
2017-07-27 21:40:06,收入,483.84,礼金,
2017-06-27 18:34:23,收入,344.07,礼金,
2017-01-02 03:33:01,收入,297.68,工作,
2017-11-26 16:50:04,收入,303.16,公积金,
2017-12-25 06:19:11,收入,60.46,工作,
2017-07-28 18:25:33,支出,342.34,饮料,
2017-09-02 00:05:07,收入,392.46,股票,
2017-02-03 07:11:46,收入,450.27,报销,年度账单表
2017-03-24 22:38:46,支出,510.82,日用品,
2017-02-02 16:30:32,收入,377.66,工资,
2017-12-14 01:24:42,收入,177.01,兼职,
2017-09-19 01:20:27,支出,156.58,日用品,
2017-07-04 20:35:44,收入,333.28,理财,
2017-02-19 19:30:44,收入,451.66,股票,
2017-04-12 13:28:40,支出,65.11,数码,
2017-02-11 12:18:35,收入,283.45,股票,社交聚会
2017-12-28 18:09:26,收入,353.90,退税退费,
2017-11-27 18:44:38,支出,642.48,纳税,
2017-08-16 02:09:58,收入,189.35,兼职,
2017-04-24 10:36:40,支出,598.07,水果,
2017-04-11 16:08:47,收入,5834.00,工资,
2017-12-11 18:02:46,支出,714.03,烟酒,
2017-04-23 08:19:27,支出,751.57,水电,
2017-03-26 13:08:23,支出,252.83,书,
2017-06-01 20:46:03,支出,233.99,打车,
2017-04-12 12:26:07,支出,25.71,退款,年度核算
2017-01-08 22:19:38,收入,489.89,工作,
2017-03-10 21:10:56,收入,380.31,公积金,
2017-06-17 06:51:39,收入,191.22,退税退费,
2017-05-02 09:55:16,收入,287.48,工作,彩票投注
2017-08-16 14:01:19,支出,754.06,纳税,
2017-12-17 18:41:19,收入,360.17,礼金,
2017-07-16 14:59:10,支出,375.06,居家,数码产品
2017-02-18 00:04:49,收入,428.97,退税退费,
2017-06-06 20:28:12,支出,468.98,快递,
2017-11-14 16:11:03,支出,408.10,社保,
2017-08-16 19:55:39,收入,298.07,工作,
2017-03-06 09:47:12,收入,484.89,公积金,
2017-10-28 08:22:15,收入,170.99,利息,
2017-11-03 00:47:19,支出,93.01,医疗,
2017-08-08 19:49:42,收入,318.12,工资,
2017-01-11 03:43:25,支出,145.77,学习,
2017-11-10 05:42:38,收入,271.75,公积金,年度评估
2017-09-15 17:47:14,支出,796.48,烟酒,年度分析
2017-06-14 23:07:56,支出,509.75,学习,
2017-08-10 17:32:48,收入,477.95,兼职,
2017-12-24 08:45:22,支出,721.06,娱乐,
2017-09-06 12:12:36,支出,96.75,日用品,
2017-07-14 04:41:28,支出,300.14,维修,
2017-08-21 06:58:45,收入,91.13,礼金,
2017-12-09 22:44:21,收入,5792.00,工资,
2017-11-20 10:58:55,收入,444.98,二手转卖,
2017-07-25 08:32:23,收入,448.42,工资,
2017-04-23 10:19:23,收入,10.37,红包,
2017-02-21 02:08:19,收入,59.77,二手转卖,
2017-11-04 00:00:38,收入,231.77,奖金,
2017-02-04 22:48:04,支出,6.28,游戏,物业费
2017-03-15 15:26:41,收入,214.64,理财,
2017-08-28 07:49:32,支出,163.38,居家,
2017-12-20 16:03:05,收入,184.79,二手转卖,
2017-02-23 22:14:25,支出,575.94,社交,
2017-08-20 07:24:19,收入,491.50,工作,
2017-07-07 16:26:30,收入,341.57,退税退费,
2017-10-14 00:39:11,支出,17.54,数码,
2017-09-28 18:48:36,支出,616.27,停车,
2017-04-20 12:00:31,收入,43.01,退税退费,
2017-10-14 16:23:35,收入,470.57,报销,
2017-03-07 17:53:34,收入,400.46,礼金,
2017-07-09 05:47:18,支出,283.02,居家,
2017-06-07 20:09:31,收入,337.46,红包,
2017-07-19 05:59:34,支出,778.62,宠物,
2017-09-06 10:21:57,支出,298.08,书,
2017-08-13 14:47:58,支出,196.57,捐赠,
2017-02-14 15:14:06,支出,268.14,纳税,
2017-01-08 02:52:33,收入,471.99,兼职,
2017-01-22 21:12:05,收入,438.38,股票,
2017-07-01 22:49:23,收入,404.14,二手转卖,
2017-03-28 20:59:08,收入,396.84,工资,
2017-08-22 11:42:45,收入,176.64,红包,
2017-08-15 22:51:03,支出,460.06,运动,
2017-11-23 14:53:00,支出,696.75,教育,
2017-10-20 21:29:14,收入,20.99,利息,
2017-05-05 09:40:44,支出,137.56,退款,股票分红
2017-09-19 09:43:39,收入,484.09,奖金,
2017-09-14 16:48:06,收入,330.44,利息,
2017-05-22 10:28:04,支出,774.93,通讯,
2017-01-08 21:10:00,收入,238.37,工作,
2017-06-17 05:39:33,支出,691.24,购物,
2017-10-03 16:58:33,收入,287.18,公积金,二手转卖
2017-07-02 03:35:51,支出,210.83,教育,
2017-08-01 08:31:48,收入,62.61,奖金,
2017-07-08 08:17:03,收入,378.12,报销,
2017-01-23 11:25:46,支出,191.37,外卖,
2017-11-09 09:12:17,支出,115.55,捐赠,
2017-07-11 01:57:42,收入,174.92,公积金,
2017-11-14 02:19:11,收入,437.11,工作,
2017-04-27 14:52:44,收入,219.73,工资,
2017-02-09 09:21:30,支出,300.33,彩票,
2017-09-13 12:31:17,收入,348.08,奖金,
2017-06-02 23:34:34,支出,178.55,住房,旅游计划
2017-03-23 05:20:00,收入,50.88,公积金,
2017-10-22 23:05:54,支出,381.63,学习,
2017-09-02 13:33:54,收入,371.52,理财,
2017-01-04 07:50:44,收入,259.16,二手转卖,
2017-02-20 14:27:01,支出,49.73,烟酒,
2017-12-17 19:09:34,收入,186.05,工作,
2017-12-02 20:14:33,支出,387.19,数码,
2017-03-08 02:32:19,收入,487.53,报销,
2017-03-26 09:41:27,支出,492.82,住房,
2017-09-10 13:51:33,收入,440.94,兼职,工作补贴
2017-09-12 00:24:53,收入,5703.00,工资,
2017-12-08 14:54:34,收入,251.73,礼金,
2017-09-23 05:39:45,收入,63.59,理财,
2017-12-22 05:42:39,支出,679.20,烟酒,
2017-03-04 10:22:15,支出,387.84,通讯,
2017-01-21 12:43:25,收入,307.53,红包,
2017-03-25 19:54:20,支出,750.97,社保,
2017-03-13 02:29:41,收入,255.26,兼职,
2017-08-19 17:18:36,支出,169.63,纳税,
2017-06-13 18:44:55,支出,300.90,装修,
2017-04-24 12:33:05,支出,360.76,零食,
2017-04-06 21:14:04,支出,468.70,捐赠,
2017-03-13 15:01:38,支出,422.98,打车,
2017-01-12 12:40:54,收入,279.60,兼职,
2017-01-06 23:01:55,支出,28.00,书,
2017-05-18 10:00:41,支出,631.83,居家,
2017-10-24 07:40:09,支出,717.90,美容,
2017-01-14 10:43:26,收入,257.47,工资,
2017-03-01 12:45:45,支出,751.28,住房,
2017-06-13 08:04:20,收入,447.23,理财,
